playerid,team,pos,eligibility,B/T,height,weight,grade,homestate,first,middle,last,suffix,jersey,homecity,school,draftstatus
1570385,WN,I,2022-06-07,R/R,71,170,3,NC,Kohl,,Abrams,,14,Cary,University of North Carolina Asheville , 
1579587,UV,P,2022-06-07,R/R,71,185,3,TX,Matthew,,Adams,,26,Pearland,University of Southern Mississippi, 
1554649,SN,P,2022-06-07,R/R,72,175,2,ME,Brady,,Afthim,,10,Windham,University of Connecticut, 
1557162,SN,P,2022-06-07,R/R,75,235,4,ME,Bryce,,Afthim,,25,Windham,University of Southern Maine, 
1603304,WN,P,2022-07-18,L/R,75,200,4,RI,Brenden,,Aldridge,,27,Pawtucket,Rhode Island College, 
1582862,MY,P,2022-06-21,R/R,73,225,3,CT,Hector,,Alejandro,,32,Waterbury,University of Connecticut, 
1564778,UV,P,2022-06-07,R/R,73,195,4,NY,Randall,,Alejo,,13,Patchogue,College of Saint Rose, 
1566160,NW,I,2022-06-07,R/R,75,221,2,AL,Slate,,Alford,,24,Madison,Mississippi State University, 
1557402,NW,P,2022-06-07,R/R,78,220,3,CO,Chase,,Allen,,37,Littleton,University of Michigan, 
1556235,MY,I,2022-06-07,R/R,72,175,4,TX,Logan,,Allen,,40,Magnolia,Bryant University, 
1561835,KN,O,2022-06-07,R/R,72,200,4,NY,Matt,,Almonte,,14,New Rochelle,Pace University, 
1555992,KN,I,2022-06-07,L/R,76,200,2,KY,Brandon,,Anderson,,18,Richmond,University of Louisville, 
1558139,BR,O,2022-06-07,L/R,72,190,3,CT,Griffin,,Arnone,,6,New Canaan,Elon University, 
1603760,OS,P,2022-07-16,R/R,73,245,4,MA,Tylor,,Arruda,,25,New Bedford,University of Massachusetts Dartmouth, 
1557333,SN,I,2022-06-07,R/R,71,178,2,CT,Devan,,Bade,,5,Southington,Binghamton University, 
1572872,WN,P,2022-06-07,R/R,72,205,4,NY,Justin,,Baeyens,,18,Lynbrook,Saint Thomas Aquinas College, 
1587873,VL,P,2022-06-07,R/R,76,209,3,OH,Connor,,Bailey,,19,Medina,Xavier University, 
